TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,999,CC,false,2,A,0,0,,0,
4,70,999,CC,false,4,A,0,0,,0,
6,90,999,CC,false,6,A,0,0,,0,
8,70,999,CC,false,8,A,0,0,,0,
10,100,999,CC,false,11,A,0,0,,0,
11,100,999,CC,false,11,A,0,0,,0,
13,90,999,CC,false,13,A,0,0,,0,
15,100,999,CC,false,16,A,0,0,,0,
16,100,999,CC,false,16,A,0,0,,0,
18,80,999,CC,false,18,A,0,0,,0,
20,70,999,CC,false,20,A,0,0,,0,
22,80,999,CC,false,23,A,0,0,,0,
23,80,999,CC,false,23,A,0,0,,0,
25,80,999,CC,false,18,A,0,0,,0,
27,90,999,CC,false,6,A,0,0,,0,
29,70,999,CC,false,8,A,0,0,,0,
31,190,999,CC,false,32,A,0,0,,0,
32,190,999,CC,false,32,A,0,0,,0,
34,80,999,CC,false,35,A,0,0,,0,
35,80,999,CC,false,35,A,0,0,,0,
37,90,999,CC,false,13,A,0,0,,0,
40,0,999,CC,false,41,A,0,0,,0,
41,0,999,CC,false,41,A,0,0,,0,
43,70,999,CC,false,20,A,0,0,,0,
46,80,999,CC,false,47,A,0,0,,0,
47,80,999,CC,false,47,A,0,0,,0,
50,70,999,CC,false,4,A,0,0,,0,
